\textit{LLMIC},,,,,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,2.9,2.9,1.8,2.2,2.8
,Reactive-Business/Sustained-School Closures,54.6,65.9,2.0,3.0,123.4
,\bfseries{Reactive-Business/Reactive-School Closures},9.8,11.0,2.0,3.0,16.1
,Elimination,142.1,68.3,133.3,160.2,184.4\phantom{.}
Influenza-1957-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,7.6,10.2,2.6,3.5,7.2
,Reactive-Business/Sustained-School Closures,86.1,66.7,3.3,112.2,140.8
,\bfseries{Reactive-Business/Reactive-School Closures},20.5,21.8,3.3,15.6,26.5
,Elimination,172.1,48.1,154.7,175.2,200.5\phantom{.}
Influenza-1918-X,No Closures,594.8,367.4,222.8,629.5,887.7
,\bfseries{Reactive-Business/Sustained-School Closures},541.4,293.8,274.5,502.0,787.8
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$\textsuperscript\textdagger,439.1,330.9,165.8,296.7,699.6
,Elimination,822.4,363.6,526.4,828.8,1132.0\phantom{.}
Covid-Omicron-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,56.4,44.2,18.3,42.0,90.0
,Reactive-Business/Sustained-School Closures,94.2,55.8,48.3,90.5,132.1
,\bfseries{Reactive-Business/Reactive-School Closures},68.1,41.6,36.8,58.7,93.0
,Elimination,145.4,71.7,88.3,149.7,196.7\phantom{.}
Covid-Delta-X,\bfseries{No Closures},316.8,185.3,166.8,325.4,431.5
,Reactive-Business/Sustained-School Closures,360.3,164.0,228.5,356.1,457.8
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$\textsuperscript\textdagger,330.6,163.5,205.5,321.3,429.6
,Elimination,395.5,155.6,275.9,377.5,489.2\phantom{.}
Covid-Wildtype-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,110.9,81.7,35.1,104.4,167.6
,Reactive-Business/Sustained-School Closures,179.4,72.9,134.2,172.7,222.7
,\bfseries{Reactive-Business/Reactive-School Closures},147.1,78.5,90.7,138.6,193.8
,Elimination,224.0,87.0,164.4,212.4,277.8\phantom{.}\phantom{.}
\textit{UMIC},,,,,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,2.3,0.8,1.7,2.2,2.7
,Reactive-Business/Sustained-School Closures,7.9,18.9,1.8,2.3,3.0
,\bfseries{Reactive-Business/Reactive-School Closures},3.3,3.6,1.8,2.3,3.0
,Elimination,75.7,46.5,5.8,95.0,109.2\phantom{.}
Influenza-1957-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,7.1,10.2,3.1,4.3,6.5
,Reactive-Business/Sustained-School Closures,38.5,38.1,3.6,7.8,77.8
,\bfseries{Reactive-Business/Reactive-School Closures},11.2,9.1,3.6,8.6,17.2
,Elimination,107.7,29.0,100.6,111.5,122.4\phantom{.}
Influenza-1918-X,No Closures,363.2,329.5,98.2,204.7,606.3
,\bfseries{Reactive-Business/Sustained-School Closures},246.9,146.7,152.7,196.5,300.2
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$\textsuperscript\textdagger,135.6,82.9,95.1,117.3,146.3
,Elimination,385.3,229.3,201.4,309.4,515.2\phantom{.}
Covid-Omicron-X,\bfseries{No Closures}$^*$,49.8,49.0,14.9,29.2,67.5
,Reactive-Business/Sustained-School Closures,76.4,49.6,30.7,80.1,105.8
,\bfseries{Reactive-Business/Reactive-School Closures}\textsuperscript\textdagger,50.6,40.3,23.2,38.7,65.4
,Elimination,117.6,44.3,97.1,123.8,142.2\phantom{.}
Covid-Delta-X,No Closures,425.8,294.2,153.6,405.6,634.9
,\bfseries{Reactive-Business/Sustained-School Closures},423.4,268.0,192.4,371.4,608.5
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$\textsuperscript\textdagger,360.3,251.6,158.0,291.3,522.9
,Elimination,445.3,228.3,260.5,410.3,588.7\phantom{.}
Covid-Wildtype-X,\bfseries{No Closures}$^*$,125.1,117.2,31.6,78.5,194.0
,Reactive-Business/Sustained-School Closures,141.6,87.0,90.4,116.6,169.9
,\bfseries{Reactive-Business/Reactive-School Closures}\textsuperscript\textdagger,94.8,66.3,48.6,79.6,118.7
,Elimination,166.6,80.8,112.9,149.3,207.6\phantom{.}\phantom{.}
\textit{HIC},,,,,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,1.9,0.9,1.2,1.8,2.4
,Reactive-Business/Sustained-School Closures,2.5,4.2,1.3,1.8,2.5
,\bfseries{Reactive-Business/Reactive-School Closures},2.2,2.0,1.3,1.8,2.5
,Elimination,48.9,23.5,43.1,55.6,63.4\phantom{.}
Influenza-1957-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,5.5,7.5,2.7,4.1,5.9
,Reactive-Business/Sustained-School Closures,14.6,14.5,3.0,5.3,31.0
