\textit{LLMIC},,,,,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,2.7,2.6,1.8,2.1,2.7
,School Closures,41.1,49.1,2.0,2.9,89.3
,\bfseries{Economic Closures},8.9,9.7,2.0,2.9,14.4
,Elimination,91.5,58.4,32.8,108.6,131.9\phantom{.}
Influenza-1957-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,6.7,9.5,2.5,3.3,5.9
,School Closures,70.3,54.2,3.4,88.1,110.3
,\bfseries{Economic Closures},19.3,20.8,3.4,15.1,23.6
,Elimination,122.3,57.9,98.9,130.6,156.5\phantom{.}
Influenza-1918-X,\bfseries{No Closures},886.9,403.5,617.3,933.1,1182.5
,School Closures,894.2,360.5,627.3,929.6,1164.8
,\bfseries{Economic Closures}$^*$\textsuperscript\textdagger,736.9,356.7,421.4,765.3,1005.7
,Elimination,1176.2,368.7,940.8,1227.0,1458.1\phantom{.}
Covid-Omicron-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,47.8,40.6,16.0,32.8,71.6
,School Closures,94.9,56.4,47.9,92.4,132.7
,\bfseries{Economic Closures},65.9,44.2,33.9,54.1,89.2
,Elimination,145.9,73.9,85.9,148.4,197.0\phantom{.}
Covid-Delta-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,303.2,179.6,159.3,297.9,412.7
,School Closures,361.3,159.1,241.1,348.6,454.2
,\bfseries{Economic Closures},330.9,165.7,206.3,316.3,430.1
,Elimination,422.2,156.6,310.2,404.6,516.5\phantom{.}
Covid-Wildtype-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,104.4,79.3,35.1,90.0,155.5
,School Closures,177.0,75.0,125.1,171.1,220.7
,\bfseries{Economic Closures},149.0,83.6,84.8,135.8,201.1
,Elimination,253.1,86.8,189.3,247.5,309.8\phantom{.}
SARS-X,No Closures,870.2,337.4,628.5,882.9,1107.4
,\bfseries{School Closures},790.9,294.9,575.1,781.9,994.1
,\bfseries{Economic Closures}$^*$\textsuperscript\textdagger,740.5,312.2,508.1,725.7,953.9
,Elimination,833.4,301.8,623.3,828.4,1036.5\phantom{.}\phantom{.}
\textit{UMIC},,,,,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,2.4,0.8,1.9,2.3,2.8
,School Closures,6.3,13.5,1.9,2.3,3.0
,\bfseries{Economic Closures},3.2,2.9,1.9,2.3,3.0
,Elimination,24.3,23.4,6.5,16.5,34.4\phantom{.}
Influenza-1957-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,7.8,11.1,3.4,4.5,6.9
,School Closures,32.3,31.4,3.7,9.3,60.1
,\bfseries{Economic Closures},11.8,11.2,3.7,9.2,16.2
,Elimination,39.1,31.1,16.4,27.9,53.5\phantom{.}
Influenza-1918-X,No Closures,630.5,475.9,175.4,526.4,1003.8
,\bfseries{School Closures},537.9,356.4,234.9,428.7,792.9
,\bfseries{Economic Closures}$^*$\textsuperscript\textdagger,363.7,269.8,163.2,250.5,516.5
,Elimination,594.7,345.4,279.0,578.0,847.1\phantom{.}
Covid-Omicron-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,45.3,46.5,13.2,25.0,59.2
,School Closures,71.0,49.0,24.5,71.3,99.7
,\bfseries{Economic Closures},47.0,38.4,20.6,34.9,62.2
,Elimination,83.1,46.5,46.2,75.8,110.2\phantom{.}
Covid-Delta-X,No Closures,381.2,293.4,111.4,333.7,595.7
,School Closures,386.6,263.6,168.5,311.2,559.3
,\bfseries{Economic Closures}$^*$,325.5,246.1,129.9,248.8,482.4
,\bfseries{Elimination}\textsuperscript\textdagger,348.6,213.8,186.8,294.7,468.4\phantom{.}
Covid-Wildtype-X,\bfseries{No Closures}$^*$,120.2,114.3,28.8,75.1,189.9
,School Closures,142.0,90.1,83.3,118.6,183.4
,\bfseries{Economic Closures}\textsuperscript\textdagger,100.5,72.2,46.1,82.3,135.4
,Elimination,166.6,84.3,107.6,150.6,214.0\phantom{.}
SARS-X,No Closures,609.4,413.4,262.0,515.4,893.2
,\bfseries{School Closures},453.7,248.1,283.9,390.9,598.3
