\textit{LLMIC},,,,,
Influenza-2009-X,No Closures,0.3 (0.2; 0.4),0.4 (0.3; 0.6),0.7 (0.5; 0.9),0.2 (0.1; 0.3)
,Reactive-Business/Sustained-School Closures,0.3 (0.2; 0.4),0.4 (0.3; 0.5),0.6 (0.5; 0.8),0.2 (0.1; 0.2)
,Reactive-Business/Reactive-School Closures,0.3 (0.2; 0.3),0.4 (0.3; 0.4),0.6 (0.4; 0.7),0.1 (0.1; 0.2)
,Elimination,0.3 (0.2; 0.4),0.3 (0.2; 0.5),0.5 (0.3; 0.8),0.1 (0.1; 0.2)\phantom{.}
Influenza-1957-X,No Closures,0.2 (0.1; 0.3),0.5 (0.4; 1.1),1.5 (1.0; 3.3),0.5 (0.3; 1.3)
,Reactive-Business/Sustained-School Closures,0.1 (0.1; 0.2),0.4 (0.3; 0.5),1.2 (0.9; 1.8),0.4 (0.3; 0.7)
,Reactive-Business/Reactive-School Closures,0.1 (0.1; 0.2),0.4 (0.3; 0.5),1.1 (0.8; 1.5),0.4 (0.3; 0.6)
,Elimination,0.2 (0.1; 0.3),0.4 (0.3; 0.7),1.1 (0.7; 2.4),0.4 (0.2; 1.0)\phantom{.}
Influenza-1918-X,No Closures,146.8 (56.1; 227.6),135.4 (47.5; 189.1),267.4 (96.4; 393.1),4.4 (1.7; 7.9)
,Reactive-Business/Sustained-School Closures,109.3 (44.2; 179.1),67.6 (26.7; 120.7),150.8 (59.7; 287.3),2.8 (1.1; 5.6)
,Reactive-Business/Reactive-School Closures,64.1 (29.5; 165.0),34.9 (20.5; 111.7),74.0 (40.3; 236.8),1.6 (0.7; 4.6)
,Elimination,220.1 (139.7; 289.0),121.6 (54.5; 186.3),253.4 (111.8; 402.2),4.6 (1.8; 8.4)\phantom{.}
Covid-Omicron-X,No Closures,0.1 (0.1; 0.1),3.0 (1.9; 3.5),28.8 (10.4; 68.5),3.4 (1.9; 5.4)
,Reactive-Business/Sustained-School Closures,0.1 (0.1; 0.1),2.5 (1.4; 3.3),20.6 (8.0; 57.0),3.1 (1.8; 5.0)
,Reactive-Business/Reactive-School Closures,0.1 (0.1; 0.1),2.2 (1.1; 3.0),15.1 (6.5; 43.4),2.8 (1.6; 4.7)
,Elimination,0.1 (0.1; 0.1),2.3 (1.2; 3.1),17.9 (6.7; 48.2),3.0 (1.6; 4.9)\phantom{.}
Covid-Delta-X,No Closures,0.1 (0.1; 0.1),4.2 (3.4; 4.7),253.1 (123.0; 342.0),18.2 (11.4; 28.1)
,Reactive-Business/Sustained-School Closures,0.1 (0.1; 0.1),3.5 (2.4; 4.3),213.0 (76.3; 313.7),16.8 (9.8; 26.9)
,Reactive-Business/Reactive-School Closures,0.1 (0.1; 0.1),3.2 (2.1; 4.0),176.6 (57.8; 288.1),15.7 (9.3; 25.7)
,Elimination,0.1 (0.1; 0.1),3.3 (2.2; 4.1),197.1 (83.3; 295.6),16.7 (9.9; 26.5)\phantom{.}
Covid-Wildtype-X,No Closures,0.0 (0.0; 0.1),1.8 (1.2; 2.2),79.8 (23.9; 132.0),5.8 (3.4; 9.4)
,Reactive-Business/Sustained-School Closures,0.0 (0.0; 0.1),1.2 (0.7; 1.7),39.8 (14.1; 99.5),4.6 (2.6; 7.8)
,Reactive-Business/Reactive-School Closures,0.0 (0.0; 0.1),0.9 (0.5; 1.4),22.9 (10.5; 63.2),3.8 (2.1; 6.6)
,Elimination,0.1 (0.0; 0.1),1.3 (0.7; 1.7),50.8 (15.6; 99.8),4.9 (2.6; 8.4)\phantom{.}\phantom{.}
\textit{UMIC},,,,,
Influenza-2009-X,No Closures,0.1 (0.1; 0.2),0.3 (0.2; 0.3),0.8 (0.6; 1.0),0.5 (0.3; 0.8)
,Reactive-Business/Sustained-School Closures,0.1 (0.1; 0.2),0.3 (0.2; 0.3),0.8 (0.6; 1.0),0.5 (0.3; 0.8)
,Reactive-Business/Reactive-School Closures,0.1 (0.1; 0.2),0.3 (0.2; 0.3),0.8 (0.6; 1.0),0.5 (0.3; 0.8)
,Elimination,0.1 (0.1; 0.2),0.2 (0.2; 0.3),0.6 (0.5; 0.9),0.4 (0.2; 0.6)\phantom{.}
Influenza-1957-X,No Closures,0.1 (0.1; 0.1),0.3 (0.2; 0.4),2.0 (1.4; 2.9),1.3 (0.7; 2.4)
,Reactive-Business/Sustained-School Closures,0.1 (0.1; 0.1),0.3 (0.2; 0.3),1.8 (1.3; 2.4),1.1 (0.7; 1.8)
,Reactive-Business/Reactive-School Closures,0.1 (0.1; 0.1),0.3 (0.2; 0.3),1.8 (1.3; 2.3),1.1 (0.7; 1.8)
,Elimination,0.1 (0.1; 0.1),0.2 (0.2; 0.3),1.4 (1.0; 2.0),0.9 (0.5; 1.6)\phantom{.}
Influenza-1918-X,No Closures,32.2 (16.1; 84.1),36.3 (17.4; 102.9),117.1 (54.6; 351.0),6.0 (2.5; 15.7)
,Reactive-Business/Sustained-School Closures,24.8 (16.4; 47.8),17.7 (12.3; 30.0),66.6 (45.8; 119.7),3.4 (1.7; 6.7)
,Reactive-Business/Reactive-School Closures,15.6 (12.3; 21.4),15.6 (12.8; 18.7),50.2 (40.2; 62.3),2.6 (1.5; 4.4)
,Elimination,48.3 (22.6; 95.8),26.4 (12.6; 58.6),98.8 (45.4; 209.8),4.5 (1.9; 10.3)\phantom{.}
